mediaID;artist;album;tracknumber;title
BEATLES_CD01PPM_T01;Beatles, The;Please Please Me;1;I Saw Her Standing There
BEATLES_CD01PPM_T02;Beatles, The;Please Please Me;2;Misery
BEATLES_CD01PPM_T03;Beatles, The;Please Please Me;3;Anna (Go To Him)
BEATLES_CD01PPM_T04;Beatles, The;Please Please Me;4;Chains
BEATLES_CD01PPM_T05;Beatles, The;Please Please Me;5;Boys
BEATLES_CD01PPM_T06;Beatles, The;Please Please Me;6;Ask Me Why
BEATLES_CD01PPM_T07;Beatles, The;Please Please Me;7;Please Please Me
BEATLES_CD01PPM_T08;Beatles, The;Please Please Me;8;Love Me Do
BEATLES_CD01PPM_T09;Beatles, The;Please Please Me;9;P.S. I Love You
BEATLES_CD01PPM_T10;Beatles, The;Please Please Me;10;Baby It's You
BEATLES_CD01PPM_T11;Beatles, The;Please Please Me;11;Do You Want To Know A Secret
BEATLES_CD01PPM_T12;Beatles, The;Please Please Me;12;A Taste Of Honey
BEATLES_CD01PPM_T13;Beatles, The;Please Please Me;13;There's a Place
BEATLES_CD01PPM_T14;Beatles, The;Please Please Me;14;Twist and Shout
BEATLES_CD02WTB_T01;Beatles, The;With The Beatles;1;It Won't Be Long
BEATLES_CD02WTB_T02;Beatles, The;With The Beatles;2;All I've Got To Do
BEATLES_CD02WTB_T03;Beatles, The;With The Beatles;3;All My Loving
BEATLES_CD02WTB_T04;Beatles, The;With The Beatles;4;Don't Bother Me
BEATLES_CD02WTB_T05;Beatles, The;With The Beatles;5;Little Child
BEATLES_CD02WTB_T06;Beatles, The;With The Beatles;6;Till There Was You
BEATLES_CD02WTB_T07;Beatles, The;With The Beatles;7;Please Mister Postman
BEATLES_CD02WTB_T08;Beatles, The;With The Beatles;8;Roll Over Beethoven
BEATLES_CD02WTB_T09;Beatles, The;With The Beatles;9;Hold Me Tight
BEATLES_CD02WTB_T10;Beatles, The;With The Beatles;10;You Really Got A Hold On Me
BEATLES_CD02WTB_T11;Beatles, The;With The Beatles;11;I Wanna Be Your Man
BEATLES_CD02WTB_T12;Beatles, The;With The Beatles;12;Devil in Her Heart
BEATLES_CD02WTB_T13;Beatles, The;With The Beatles;13;Not A Second Time
BEATLES_CD02WTB_T14;Beatles, The;With The Beatles;14;Money
BEATLES_CD03HDN_T01;Beatles, The;A Hard Days Night;1;A Hard Day's Night
BEATLES_CD03HDN_T02;Beatles, The;A Hard Days Night;2;I Should Have Known Better
BEATLES_CD03HDN_T03;Beatles, The;A Hard Days Night;3;If I Fell
BEATLES_CD03HDN_T04;Beatles, The;A Hard Days Night;4;I'm Happy Just To Dance With You
BEATLES_CD03HDN_T05;Beatles, The;A Hard Days Night;5;And I Love Her
BEATLES_CD03HDN_T06;Beatles, The;A Hard Days Night;6;Tell Me Why
BEATLES_CD03HDN_T07;Beatles, The;A Hard Days Night;7;Can't Buy Me Love
BEATLES_CD03HDN_T08;Beatles, The;A Hard Days Night;8;Any Time at All
BEATLES_CD03HDN_T09;Beatles, The;A Hard Days Night;9;I'll Cry Instead
BEATLES_CD03HDN_T10;Beatles, The;A Hard Days Night;10;Things We Said Today
BEATLES_CD03HDN_T11;Beatles, The;A Hard Days Night;11;When I Get Home
BEATLES_CD03HDN_T12;Beatles, The;A Hard Days Night;12;You Can't Do That
BEATLES_CD03HDN_T13;Beatles, The;A Hard Days Night;13;I'll Be Back
BEATLES_CD04BFS_T01;Beatles, The;Beatles For Sale;1;No Reply
BEATLES_CD04BFS_T02;Beatles, The;Beatles For Sale;2;I'm A Loser
BEATLES_CD04BFS_T03;Beatles, The;Beatles For Sale;3;Baby's in Black
BEATLES_CD04BFS_T04;Beatles, The;Beatles For Sale;4;Rock and Roll Music
BEATLES_CD04BFS_T05;Beatles, The;Beatles For Sale;5;I'll Follow The Sun
BEATLES_CD04BFS_T06;Beatles, The;Beatles For Sale;6;Mr. Moonlight
BEATLES_CD04BFS_T07;Beatles, The;Beatles For Sale;7;Kansas City Hey, Hey, Hey, Hey
BEATLES_CD04BFS_T08;Beatles, The;Beatles For Sale;8;Eight Days A Week
BEATLES_CD04BFS_T09;Beatles, The;Beatles For Sale;9;Words of Love
BEATLES_CD04BFS_T10;Beatles, The;Beatles For Sale;10;Honey Don't
BEATLES_CD04BFS_T11;Beatles, The;Beatles For Sale;11;Every Little Thing
BEATLES_CD04BFS_T12;Beatles, The;Beatles For Sale;12;I Don't Want to Spoil the Party
BEATLES_CD04BFS_T13;Beatles, The;Beatles For Sale;13;What You're Doing
BEATLES_CD04BFS_T14;Beatles, The;Beatles For Sale;14;Everybody's Trying to Be My Baby
BEATLES_CD05HEL_T01;Beatles, The;Help;1;Help!
BEATLES_CD05HEL_T02;Beatles, The;Help;2;The Night Before
BEATLES_CD05HEL_T03;Beatles, The;Help;3;You've Got To Hide Your Love Away
BEATLES_CD05HEL_T04;Beatles, The;Help;4;I Need You
BEATLES_CD05HEL_T05;Beatles, The;Help;5;Another Girl
BEATLES_CD05HEL_T06;Beatles, The;Help;6;You're Going to Lose That Girl
BEATLES_CD05HEL_T07;Beatles, The;Help;7;Ticket to Ride
BEATLES_CD05HEL_T08;Beatles, The;Help;8;Act Naturally
BEATLES_CD05HEL_T09;Beatles, The;Help;9;It's Only Love
BEATLES_CD05HEL_T10;Beatles, The;Help;10;You Like Me Too Much
BEATLES_CD05HEL_T11;Beatles, The;Help;11;Tell Me What You See
BEATLES_CD05HEL_T12;Beatles, The;Help;12;I've Just Seen A Face
BEATLES_CD05HEL_T13;Beatles, The;Help;13;Yesterday
BEATLES_CD05HEL_T14;Beatles, The;Help;14;Dizzy Miss Lizzy
BEATLES_CD06RUB_T01;Beatles, The;Rubber Soul;1;Drive My Car
BEATLES_CD06RUB_T02;Beatles, The;Rubber Soul;2;Norwegian Wood (This Bird Has Flown)
BEATLES_CD06RUB_T03;Beatles, The;Rubber Soul;3;You Won't See Me
BEATLES_CD06RUB_T04;Beatles, The;Rubber Soul;4;Nowhere Man
BEATLES_CD06RUB_T05;Beatles, The;Rubber Soul;5;Think for Yourself
BEATLES_CD06RUB_T06;Beatles, The;Rubber Soul;6;The World
BEATLES_CD06RUB_T07;Beatles, The;Rubber Soul;7;Michelle
BEATLES_CD06RUB_T08;Beatles, The;Rubber Soul;8;What Goes On
BEATLES_CD06RUB_T09;Beatles, The;Rubber Soul;9;Girl
BEATLES_CD06RUB_T10;Beatles, The;Rubber Soul;10;I'm Looking Through You
BEATLES_CD06RUB_T11;Beatles, The;Rubber Soul;11;In My Life
BEATLES_CD06RUB_T12;Beatles, The;Rubber Soul;12;Wait
